Type,Question
Yes-no,is the text saying anything good about a food?
Yes-no,is the text saying anything bad about a food?
Yes-no,is the text saying anything good about products?
Yes-no,is the text saying anything bad about products?
Yes-no,is the text saying anything good about a safety?
Yes-no,is the text saying anything bad about a safety?
Yes-no,is the text saying anything good about a supply?
Yes-no,is the text saying anything bad about a supply?
Yes-no,is there anything fresh mentioned in the text?
Yes-no,is there anything healthy mentioned in the text?
Yes-no,is the text saying anything good about a nutrition?
Yes-no,is the text saying anything bad about a nutrition?
Yes-no,is the text saying anything good about a consumer?
Yes-no,is the text saying anything bad about a consumer?
Yes-no,is the text saying anything good about a processing?
Yes-no,is the text saying anything bad about a processing?
Yes-no,is there anything organic mentioned in the text?
Yes-no,is the text saying anything good about supplies?
Yes-no,is the text saying anything bad about supplies?
Yes-no,is the text saying anything good about a consumption?
Yes-no,is the text saying anything bad about a consumption?
Yes-no,is the text saying anything good about ingredients?
Yes-no,is the text saying anything bad about ingredients?
Yes-no,is the text saying anything good about a service?
Yes-no,is the text saying anything bad about a service?
Yes-no,is the text saying anything good about a delivery?
Yes-no,is the text saying anything bad about a delivery?
Yes-no,is the text saying anything good about a provider?
Yes-no,is the text saying anything bad about a provider?
Yes-no,is the text saying anything good about customers?
Yes-no,is the text saying anything bad about customers?
Yes-no,is the text saying anything good about trains?
Yes-no,is the text saying anything bad about trains?
Yes-no,is the text saying anything good about a medal?
Yes-no,is the text saying anything bad about a medal?
Yes-no,is there anything discontinued mentioned in the text?
Yes-no,is there anything enlisted mentioned in the text?
Yes-no,is the text saying anything good about a transit?
Yes-no,is the text saying anything bad about a transit?
Yes-no,is the text saying anything good about routes?
Yes-no,is the text saying anything bad about routes?
Yes-no,is the text saying anything good about buses?
Yes-no,is the text saying anything bad about buses?
Yes-no,is the text saying anything good about a bus?
Yes-no,is the text saying anything bad about a bus?
