Type,Question
Yes-no,is anything related to world mentioned in the text?
Yes-no,is anything related to aquatics mentioned in the text?
Yes-no,is anything related to weightlifting mentioned in the text?
Yes-no,is anything related to heavyweight mentioned in the text?
Yes-no,is anything related to gymnastics mentioned in the text?
Yes-no,is anything related to war mentioned in the text?
Yes-no,is anything related to cup mentioned in the text?
Yes-no,is anything related to athletics mentioned in the text?
Yes-no,is anything related to champion mentioned in the text?
Yes-no,is anything related to qualification mentioned in the text?
Yes-no,is anything related to championship mentioned in the text?
Yes-no,is anything related to skating mentioned in the text?
Yes-no,is anything related to premiere mentioned in the text?
Yes-no,is anything related to fifa mentioned in the text?
Yes-no,is anything related to wrestling mentioned in the text?
Yes-no,is there anything indoor mentioned in the text?
Yes-no,is anything related to tag mentioned in the text?
Yes-no,is there anything ranking mentioned in the text?
Yes-no,is anything related to boxing mentioned in the text?
Yes-no,is anything related to chess mentioned in the text?
Yes-no,is anything related to ski mentioned in the text?
Yes-no,is anything related to sports mentioned in the text?
Yes-no,is anything related to softball mentioned in the text?
Yes-no,is anything related to netball mentioned in the text?
Yes-no,is anything related to shooter mentioned in the text?
Yes-no,is anything related to badminton mentioned in the text?
Yes-no,is anything related to espn mentioned in the text?
Yes-no,is anything related to volleyball mentioned in the text?
Yes-no,is anybody illustrated mentioned in the text?
Yes-no,is anything related to tennis mentioned in the text?
Yes-no,is anything related to lacrosse mentioned in the text?
Yes-no,is anything related to handball mentioned in the text?
Yes-no,is anything related to swimming mentioned in the text?
Yes-no,is anything related to gymnastics mentioned in the text?
Yes-no,is anything related to skiing mentioned in the text?
Yes-no,is anything related to basketball mentioned in the text?
Yes-no,is anything related to commentator mentioned in the text?
Yes-no,is anything related to soccer mentioned in the text?
Yes-no,is anything related to varsity mentioned in the text?
Yes-no,is anything related to athletes mentioned in the text?
Yes-no,is anything related to fame mentioned in the text?
Yes-no,is anything related to sport mentioned in the text?
Yes-no,is anything related to business mentioned in the text?
Yes-no,is anything related to mba mentioned in the text?
Yes-no,is anything related to ventures mentioned in the text?
Yes-no,is anything related to accounting mentioned in the text?
Yes-no,is anything related to administration mentioned in the text?
Yes-no,is anything related to enterprise mentioned in the text?
Yes-no,is anything related to marketing mentioned in the text?
Yes-no,is anything related to partner mentioned in the text?
Yes-no,is anything related to economics mentioned in the text?
Yes-no,is anything related to enterprises mentioned in the text?
Yes-no,is anything related to management mentioned in the text?
Yes-no,is anything related to interests mentioned in the text?
Yes-no,is anything related to banking mentioned in the text?
Yes-no,is anything related to finance mentioned in the text?
Yes-no,is anything related to innovation mentioned in the text?
Yes-no,is there anything corporate mentioned in the text?
Yes-no,is anything related to venture mentioned in the text?
Yes-no,is anything related to partners mentioned in the text?
Yes-no,is anything related to loop mentioned in the text?
Yes-no,is anything related to customers mentioned in the text?
Yes-no,is anything related to commerce mentioned in the text?
Yes-no,is anything related to science mentioned in the text?
Yes-no,is anything related to fiction mentioned in the text?
Yes-no,is anything related to technology mentioned in the text?
Yes-no,is anything related to algebra mentioned in the text?
Yes-no,is anything related to mathematics mentioned in the text?
Yes-no,is anything related to fantasy mentioned in the text?
Yes-no,is anything related to humanities mentioned in the text?
Yes-no,is anything related to labs mentioned in the text?
Yes-no,is anything related to engineering mentioned in the text?
Yes-no,is anything related to biology mentioned in the text?
Yes-no,is anything related to math mentioned in the text?
Yes-no,is anything related to ecology mentioned in the text?
Yes-no,is anything related to physics mentioned in the text?
Yes-no,is anything related to sociology mentioned in the text?
Yes-no,is anything related to chemistry mentioned in the text?
Yes-no,is anything related to laboratories mentioned in the text?
Yes-no,is anything related to exam mentioned in the text?
Yes-no,is anything related to citation mentioned in the text?
Yes-no,is anything related to astronomy mentioned in the text?
Yes-no,is anything related to phd mentioned in the text?
Yes-no,is anything related to bachelor mentioned in the text?
