Type,Question
Yes-no,is the text saying anything good about a product?
Yes-no,is the text saying anything bad about a product?
Yes-no,is the text saying anything good about a customer?
Yes-no,is the text saying anything bad about a customer?
Yes-no,is the text saying anything good about customers?
Yes-no,is the text saying anything bad about customers?
Yes-no,is the text saying anything good about offerings?
Yes-no,is the text saying anything bad about offerings?
Yes-no,is the text saying anything good about an advertising?
Yes-no,is the text saying anything bad about an advertising?
Yes-no,is the text saying anything good about a software?
Yes-no,is the text saying anything bad about a software?
Yes-no,is the text saying anything good about an innovation?
Yes-no,is the text saying anything bad about an innovation?
Yes-no,is the text saying anything good about a server?
Yes-no,is the text saying anything bad about a server?
Yes-no,is the text saying anything good about sales?
Yes-no,is the text saying anything bad about sales?
Yes-no,is the text saying anything good about a liability?
Yes-no,is the text saying anything bad about a liability?
Yes-no,is the text saying anything good about a placement?
Yes-no,is the text saying anything bad about a placement?
Yes-no,is the text saying anything good about a product?
Yes-no,is the text saying anything bad about a product?
Yes-no,is the text saying anything good about an innovation?
Yes-no,is the text saying anything bad about an innovation?
Yes-no,is the text saying anything good about offerings?
Yes-no,is the text saying anything bad about offerings?
Yes-no,is the text saying anything good about a customer?
Yes-no,is the text saying anything bad about a customer?
Yes-no,is the text saying anything good about a packaging?
Yes-no,is the text saying anything bad about a packaging?
Yes-no,is the text saying anything good about a brand?
Yes-no,is the text saying anything bad about a brand?
Yes-no,is the text saying anything good about a placement?
Yes-no,is the text saying anything bad about a placement?
Yes-no,is the text saying anything good about a consumer?
Yes-no,is the text saying anything bad about a consumer?
Yes-no,is the text saying anything good about consumers?
Yes-no,is the text saying anything bad about consumers?
Yes-no,is the text saying anything good about customers?
Yes-no,is the text saying anything bad about customers?
Yes-no,is the text saying anything good about brands?
Yes-no,is the text saying anything bad about brands?
