Type,Question
Yes-no,is the text saying anything good about a film?
Yes-no,is the text saying anything bad about a film?
Yes-no,is the text saying anything good about a movie?
Yes-no,is the text saying anything bad about a movie?
Yes-no,is the text saying anything good about a projector?
Yes-no,is the text saying anything bad about a projector?
Yes-no,is the text saying anything good about a soundtrack?
Yes-no,is the text saying anything bad about a soundtrack?
Yes-no,is the text saying anything good about a picture?
Yes-no,is the text saying anything bad about a picture?
Yes-no,is the text saying anything good about a cinema?
Yes-no,is the text saying anything bad about a cinema?
Yes-no,is the text saying anything good about a theater?
Yes-no,is the text saying anything bad about a theater?
Yes-no,is the text saying anything good about a screenplay?
Yes-no,is the text saying anything bad about a screenplay?
Yes-no,is the text saying anything good about a director?
Yes-no,is the text saying anything bad about a director?
Yes-no,is the text saying anything good about an actor?
Yes-no,is the text saying anything bad about an actor?
Yes-no,is the text saying anything good about a show?
Yes-no,is the text saying anything bad about a show?
Yes-no,is the text saying anything good about a documentary?
Yes-no,is the text saying anything bad about a documentary?
Yes-no,is the text saying anything good about a scene?
Yes-no,is the text saying anything bad about a scene?
Yes-no,is the text saying anything good about a motion?
Yes-no,is the text saying anything bad about a motion?
Yes-no,is the text saying anything good about a making?
Yes-no,is the text saying anything bad about a making?
Yes-no,is the text saying anything good about a telefilm?
Yes-no,is the text saying anything bad about a telefilm?
Yes-no,is the text saying anything good about a book?
Yes-no,is the text saying anything bad about a book?
Yes-no,is the text saying anything good about an animation?
Yes-no,is the text saying anything bad about an animation?
Yes-no,is the text saying anything good about a screen?
Yes-no,is the text saying anything bad about a screen?
Yes-no,is the text saying anything good about a photography?
Yes-no,is the text saying anything bad about a photography?
Yes-no,is the text saying anything good about a studio?
Yes-no,is the text saying anything bad about a studio?
Yes-no,is the text saying anything good about a video?
Yes-no,is the text saying anything bad about a video?
Yes-no,is the text saying anything good about a feature?
Yes-no,is the text saying anything bad about a feature?
Yes-no,is the text saying anything good about a sound?
Yes-no,is the text saying anything bad about a sound?
Yes-no,is the text saying anything good about a cinematography?
Yes-no,is the text saying anything bad about a cinematography?
Yes-no,is the text saying anything good about a story?
Yes-no,is the text saying anything bad about a story?
Yes-no,is the text saying anything good about a shot?
Yes-no,is the text saying anything bad about a shot?
Yes-no,is the text saying anything good about a skin?
Yes-no,is the text saying anything bad about a skin?
Yes-no,is the text saying anything good about an episode?
Yes-no,is the text saying anything bad about an episode?
Yes-no,is the text saying anything good about a phenomenon?
Yes-no,is the text saying anything bad about a phenomenon?
Yes-no,is the text saying anything good about a stock?
Yes-no,is the text saying anything bad about a stock?
Yes-no,is the text saying anything good about a camera?
Yes-no,is the text saying anything bad about a camera?
Yes-no,is the text saying anything good about a music?
Yes-no,is the text saying anything bad about a music?
Yes-no,is the text saying anything good about an entertainment?
Yes-no,is the text saying anything bad about an entertainment?
Yes-no,is the text saying anything good about a video camera?
Yes-no,is the text saying anything bad about a video camera?
Yes-no,is the text saying anything good about a videotape?
Yes-no,is the text saying anything bad about a videotape?
Yes-no,is the text saying anything good about a moviedom?
Yes-no,is the text saying anything bad about a moviedom?
Yes-no,is the text saying anything good about a talkie?
Yes-no,is the text saying anything bad about a talkie?
Yes-no,is the text saying anything good about a script?
Yes-no,is the text saying anything bad about a script?
